Artist,Song,Year,Genre,Duration_mins,Popularity,Danceability,Valence
Mary J. Blige,No More Drama,2001,"pop, R&B",5.44,61,0.653,0.64
Jennifer Lopez,Love Don't Cost a Thing,2001,"hip hop, pop, R&B",3.69,67,0.786,0.685
Jamiroquai,Little L,2001,pop,4.92,65,0.878,0.904
Case,Missing You,2001,"hip hop, pop, R&B",4.74,55,0.612,0.716
112,Peaches & Cream,2001,"hip hop, pop, R&B",3.22,63,0.677,0.768
Five,Let's Dance - Radio Edit,2001,pop,3.64,47,0.631,0.547
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],2001,Dance/Electronic,3.55,54,0.464,0.695
Alien Ant Farm,Smooth Criminal,2001,"rock, metal",3.49,75,0.653,0.87
Erick Sermon,Music (feat. Marvin Gaye),2001,"hip hop, pop",3.72,57,0.897,0.884
D12,Purple Pills,2001,"hip hop, pop, rock",5.08,68,0.78,0.754
Usher,Pop Ya Collar - Radio Edit,2016,"hip hop, pop, R&B",3.51,26,0.888,0.866
Madonna,Don't Tell Me,2000,pop,4.68,53,0.699,0.679
Blue,If You Come Back,2001,pop,3.46,58,0.582,0.701
Atomic Kitten,Eternal Flame - Single Version,2001,pop,3.26,58,0.578,0.408
Jagged Edge,Where the Party At (feat. Nelly),2001,"hip hop, pop, R&B",3.88,67,0.596,0.86
Afroman,Because I Got High,2001,hip hop,3.3,68,0.802,0.849
S Club 7,Don't Stop Movin',2001,pop,3.89,63,0.822,0.91
Nelly Furtado,Turn Off The Light,2000,"hip hop, pop, latin",4.6,1,0.587,0.65
The Supermen Lovers,Starlight - Radio Edit,2001,Dance/Electronic,3.91,61,0.739,0.786
Mis-Teeq,All I Want - Sunship Radio Edit,2004,"pop, Dance/Electronic",3.46,46,0.795,0.96
Jagged Edge,Promise,2000,"hip hop, pop, R&B",4.11,56,0.751,0.646
S Club 7,Have You Ever,2001,pop,3.36,60,0.585,0.51
Enya,Only Time,2000,"World/Traditional, Folk/Acoustic",3.64,69,0.418,0.213
Faith Hill,There You'll Be,2001,"pop, country",3.7,60,0.321,0.17
Ronan Keating,Lovin' Each Day,2000,"pop, rock",3.55,58,0.541,0.829
Destiny's Child,Bootylicious,2001,"pop, R&B",3.47,64,0.84,0.637
Steps,It's the Way You Make Me Feel,2000,"pop, Dance/Electronic",3.29,53,0.573,0.347
Sunshine Anderson,Heard It All Before,2001,"pop, R&B",4.93,56,0.697,0.678
Lenny Kravitz,Again,2000,"rock, pop",3.86,68,0.55,0.789
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,2002,pop,2.71,46,0.836,0.941
DB Boulevard,Point Of View - Radio Edit,2018,Dance/Electronic,3.85,0,0.676,0.275
Janet Jackson,All For You,2001,"pop, R&B",5.5,65,0.753,0.73
Atomic Kitten,Whole Again,2001,pop,3.08,66,0.747,0.567
Ja Rule,Livin' It Up,2001,"hip hop, pop, R&B",4.28,64,0.874,0.636
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,2001,Dance/Electronic,3.62,54,0.847,0.764
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,2001,"hip hop, pop, R&B",4.37,66,0.708,0.554
Musiq Soulchild,Love,2000,"pop, R&B",5.08,0,0.569,0.339
So Solid Crew,21 Seconds,2001,Dance/Electronic,5.05,51,0.607,0.818
Robbie Williams,Eternity,2001,"pop, rock",5.05,48,0.469,0.199
Basement Jaxx,Romeo,2001,"pop, Dance/Electronic",3.62,0,0.713,0.844
Ludacris,Southern Hospitality (Featuring Pharrell),2000,"hip hop, pop",5.02,54,0.623,0.613
Nelly,Ride Wit Me,2000,"hip hop, pop, R&B",4.86,75,0.85,0.722
Trick Daddy,I'm a Thug,2001,"hip hop, pop",4.24,59,0.933,0.586
Travis,Sing,2001,"rock, pop",3.81,68,0.33,0.259
JAY-Z,Izzo (H.O.V.A.),2001,hip hop,4.01,63,0.618,0.697
Gabrielle,Out Of Reach,2001,"pop, R&B",3.28,69,0.51,0.496
OPM,Heaven Is a Halfpipe (If I Die),2000,rock,4.29,56,0.743,0.77
K-Ci & JoJo,Crazy,2019,"pop, R&B",4.38,30,0.68,0.484
Staind,It's Been Awhile,2001,"rock, metal",4.41,64,0.509,0.0824
3LW,No More (Baby I'ma Do Right),2000,"pop, R&B",4.39,56,0.721,0.761
Ginuwine,Differences,2001,"hip hop, pop, R&B",4.43,65,0.562,0.423
*NSYNC,Gone,2001,pop,4.87,45,0.699,0.5
Lifehouse,Hanging By A Moment,2000,"pop, rock, metal",3.61,61,0.537,0.502
Nelly,Dilemma,2002,"hip hop, pop, R&B",4.82,77,0.727,0.607
Eminem,Without Me,2002,hip hop,4.84,87,0.908,0.662
Avril Lavigne,Complicated,2002,pop,4.08,78,0.585,0.427
Vanessa Carlton,A Thousand Miles,2002,"Folk/Acoustic, pop",3.96,75,0.56,0.268
The Calling,Wherever You Will Go,2001,pop,3.48,72,0.558,0.371
Shakira,Underneath Your Clothes,2001,"pop, latin",3.73,64,0.616,0.362
No Doubt,Underneath It All,2001,"rock, pop",5.05,27,0.729,0.839
Truth Hurts,Addictive,2002,"pop, R&B",3.77,58,0.701,0.367
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),2002,"hip hop, pop",5.41,68,0.648,0.518
Eminem,'Till I Collapse,2002,hip hop,4.96,85,0.548,0.1
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",2004,"hip hop, pop",4.76,69,0.713,0.779
Christina Milian,When You Look At Me - Radio Edit,2001,"hip hop, pop, R&B",3.71,60,0.955,0.825
Madonna,Die Another Day,2003,pop,4.61,53,0.792,0.491
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),2002,"hip hop, pop, R&B",2.87,53,0.718,0.774
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),2019,pop,4.07,40,0.583,0.7
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,2002,set(),3.57,66,0.607,0.868
Aaliyah,Rock The Boat,2019,"hip hop, pop, R&B",4.58,0,0.641,0.418
Holly Valance,Kiss Kiss,2002,"pop, Dance/Electronic",3.41,54,0.705,0.554
Sugababes,Round Round,2002,"pop, R&B",3.94,59,0.74,0.749
Marilyn Manson,Tainted Love,2003,"rock, metal",3.34,60,0.622,0.537
Brandy,What About Us?,2002,"hip hop, pop, R&B",4.22,43,0.686,0.748
Chad Kroeger,Hero (feat. Josey Scott),2003,metal,3.34,66,0.427,0.304
Britney Spears,Overprotected - Radio Edit,2001,pop,3.31,61,0.682,0.845
Scooter,The Logical Song,2013,"pop, Dance/Electronic",3.9,46,0.527,0.493
Missy Elliott,4 My People (feat. Eve),2001,"hip hop, pop, R&B",4.82,49,0.969,0.905
Aaliyah,More Than A Woman,2002,"hip hop, pop, R&B",3.84,42,0.646,0.74
Brandy,Full Moon,2002,"hip hop, pop, R&B",4.15,52,0.611,0.609
Blue,One Love,2002,pop,3.45,60,0.683,0.854
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,2001,"hip hop, pop",3.98,55,0.697,0.56
Céline Dion,A New Day Has Come - Radio Remix,2001,pop,4.33,59,0.574,0.195
Scooter,Nessaja,2013,"pop, Dance/Electronic",3.47,47,0.486,0.118
Eve,Gangsta Lovin',2002,"hip hop, pop, R&B",3.99,58,0.723,0.827
Disturbing Tha Peace,Move Bitch,2002,"hip hop, pop",4.54,59,0.777,0.191
Khia,"My Neck, My Back (Lick It)",2015,"pop, R&B",3.71,59,0.859,0.71
Tweet,Oops (Oh My) [feat. Missy Elliott],2002,"hip hop, pop, R&B",3.96,64,0.66,0.775
Nelly,Hot In Herre,2002,"hip hop, pop, R&B",3.8,75,0.956,0.912
Gareth Gates,Anyone of Us (Stupid Mistake),2003,pop,3.8,53,0.7,0.654
Christina Aguilera,Dirrty (feat. Redman),2002,pop,4.98,68,0.64,0.436
B2K,Uh Huh,2002,"hip hop, pop, R&B",3.72,49,0.855,0.908
Sugababes,Freak Like Me,2002,"pop, R&B",3.26,45,0.517,0.387
Dirty Vegas,Days Go By,2002,Dance/Electronic,7.2,48,0.786,0.309
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),2001,"hip hop, pop",4.45,73,0.835,0.919
Liberty X,Just A Little,2019,pop,3.96,43,0.786,0.742
No Doubt,Hella Good,2001,"rock, pop",4.04,26,0.771,0.844
LL Cool J,Luv U Better,2002,"hip hop, pop, R&B",4.78,2,0.668,0.721
Red Hot Chili Peppers,Can't Stop,2002,rock,4.48,80,0.618,0.875
